mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
3,,3,,6,,2,,2,,6,,2,,2,,,,2,,5,,,,2,,1,,3,,,,,,,
3,,1,,1,,2,,2,,1,,3,,2,,2,,2,,4,,4,,1,,2,,2,,,,,,,
1,,3,,6,,1,,1,,6,,1,,1,,1,No lectures; online,1,,4,,4,,3,,3,,1,,"I love the video tutorials on YouTube, I found those very engaging in terms of the oral presentation and the graphics (with funny jokes sometimes, too!) and they were helpful in understanding the course content",N/A,Module content was broken down in ways that were easy to digest,I don't really like the Assignments where we simply answer long/short-answer questions. It would be nice to have content being tested in more practical applications rather than just replaying the video to find answers to write.,N/A,"Great course, really enjoyed it!"
4,,4,,4,,4,,4,,4,,3,,4,,1,,2,,3,,4,,1,,1,,2,,,,,,,
1,,3,,3,"No answers were correct for one question on a quiz. I brought it to the attention of the TA's and I was penalized for not picking the most correct answer... most correct is fairly subjective, in my opinion I had picked the most correct. Was told I still had a good score on the quiz so it wouldn't matter. But it does matter to students.",2,,2,,3,,1,,2,,1,,2,,4,,4,,3,,2,"Some weeks the quizzes involving coding were a higher difficulty than expected. I enjoyed it, but it did take up more time than I had expected.",2,,,,,"Please provide feedback to the students of what answers were wrong for quizzes. Knowing you didn't get questions correct, but not knowing which is difficult to learn from.",,
2,,3,,2,,2,,2,,3,,2,,3,,,,1,,,,,,3,,3,,1,,Straight forward modules and assignments.,,"Learned useful skills for excel, html and css.",Youtube videos are a drag to watch. I much prefer notes.,,
2,,3,,3,,2,,2,,1,,2,,1,,1,,1,,1,,5,,3,,3,,2,,,,,,,
3,,3,,2,,3,,2,,6,,2,,2,,,,2,,4,,4,,3,,3,,2,,,,,,,
6,,6,,6,,6,,6,,6,,4,,6,,5,,5,,5,,5,,6,,6,,1,,,,,,,
2,,3,,2,,2,,3,,2,,2,,2,,1,,2,,2,,4,,6,,3,,2,,,,,,,
2,,3,,2,,2,,2,,6,,2,,3,,1,,1,,5,,5,,5,,4,,2,,,,,,,
1,,2,,2,,2,,1,,1,,2,,1,,1,,2,,2,,4,,3,,3,,1,,Did a great job explaining concepts and using metaphors for examples.,NA,Getting students to translate the knowledge based content into real products.,Some of the content may still seem a bit foreign to students and additional explanation could be provided.,Affected positively because of instructor's uplifting attitude.,NA
1,,3,,1,,2,,6,,1,,1,,1,,1,,1,,1,,5,,3,,3,,3,,Fast with email replies.,Nothing really.,I learned a lot of computer skills that can be useful for a science student like myself.,,It was an online course but my TA was great so overall was a positive experience.,
2,,2,,3,,2,,2,,6,,2,,3,,2,,2,,2,,4,,3,,2,,3,,,,,,,
2,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,5,,3,,3,,2,,,,,,,
6,,2,,2,,3,,6,,6,,3,,6,,1,,2,,4,,4,,1,,1,,2,,,,,,,
