mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,3,,1,,1,,1,,1,,1,,1,,2,,1,,1,,3,,3,,2,,3,,,,,,,
3,,3,,2,,2,,2,,3,,2,,1,,1,,2,,2,,5,,3,,2,,3,,,,,,,
1,,3,,1,,1,,1,,3,,1,,1,,1,,1,,1,,4,,3,,3,,3,,Great teaching style to keep students entertained in class and still learning new stuff.,Nothing - Excellent professor!,Introduced C in a comfortable transition from Racket with sufficient high-level concepts.,Not too many interesting real-world assignments.,No,None
1,,3,,1,,1,,1,,2,,2,,1,,2,,1,,5,,5,,3,,3,,3,,"Dave always does an excellent job lecturing. He's enthusiastic, intelligent, and thorough.",Dave hasn't done anything wrong.,"Arrays, integer data types.","Pointers, linked lists.",Class atmosphere wasn't affected by anything.,"The class was a little crammed, but that's it."
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,4,,,,,,,
1,,3,,1,,1,,1,,1,,1,,1,,1,,3,,5,,5,,6,,6,,4,,,,,,,
1,,3,,1,,1,,1,,6,,2,,1,,1,,2,,5,,4,,3,,2,,2,,,,,,,
1,,3,,1,,1,,1,,6,,2,,1,,1,,2,,2,,4,,3,,3,,4,,,,,,,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,5,,5,,3,,2,,4,,,,,,,
1,,3,,1,,1,,1,,6,,2,,1,,1,,1,,2,,5,,2,,2,,3,,,,,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,5,,4,,3,,4,,Visual presentation was helpful.,,,,,
1,,3,,1,,1,pointers n memory r fun. jk. but diagrams really helped,1,,6,,1,,1,,1,,1,,1,,4,,3,,2,,3,,dave made it really funny. math 135 with [NAME REMOVED] sucked because i wanted to kill myself cuz of the boredom. i never felt that way in dave's class. a1,,,,,
2,,3,,2,,2,,3,,3,,2,,2,,2,,1,,2,,4,,2,,2,,4,,,,,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,4,,3,,2,,3,,Funny guy. Enjoy the atmosphere!,,,,,
2,,3,,3,,3,,1,,1,,2,,1,,1,,2,,2,,5,,4,,3,,3,,Very enthusiastic!,,Not doing racket,Racket,,Good class size
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,5,,3,,3,,2,,Good explanations. I also love it when Dave talks about his daughter or relates lecture content to stuff like Inside Out (we did this thing where we watched 5 minutes of Inside Out at the beginning of each lecture so that we'd be done the entire thing by the end of the term),not enough star wars references,Imperative programming,pointers,nope,nope
1,,3,,1,,1,,1,,6,,2,,1,,1,,1,,2,,5,,2,,2,,4,,,,,,,
1,,3,,1,,1,,1,,1,,1,,1,,3,,1,,4,,5,,3,,2,,3,,,,,,,
1,,3,,2,,2,,2,,6,,2,,1,,1,,1,,1,,5,,3,,3,,3,,,,,,,
1,,3,,1,,2,,1,,2,,1,,1,,1,,1,,4,,4,,3,,2,,3,,,,,,,
1,,3,,2,,2,,2,,6,,2,,1,,1,,2,,5,,5,,3,,3,,3,,,,,,,
1,,3,,1,,1,,1,,6,,2,,1,,2,,2,,1,,5,,3,,2,,3,,,,,,,
1,,3,,1,,1,,1,,6,,2,,1,,1,,2,,2,,5,,3,,2,,2,,Good examples given of concepts being taught,None,"Well-organized, felt like it had purpose and direction",Very long/hard assignments,No,No
2,,4,"I would appreciate an option to either lane the course based on prior programming knowledge or allow people to test out, especially for CS135.",1,,2,,1,,6,,3,"Apart from a few neat concepts that I had not covered before, the course was entirely review, which leads to my lack of interest.",1,,2,,2,,2,,4,,5,,1,,2,,Provide entertaining and memorable examples for concepts so that we would learn them effectively.,,,,,
2,,3,,2,,2,,1,,3,,2,,2,,1,,2,,2,,2,,3,,2,,3,,,,,,,
1,,3,,1,,2,,1,,2,,1,,1,,1,,1,,5,,4,,3,,3,,3,,,,,,,
1,,4,,1,,1,,1,,1,,1,,1,,1,,1,,2,,,,4,,2,,3,,Kept it real the whole time,More visual stuff (ex. diagrams),Memory management,None,No,Please be a professor for cs 350 in the future
1,,3,,2,,1,,1,,6,,1,,1,,1,,1,,5,,5,,3,,3,,3,,"Very engaging. Cracks jokes often, but it never seems to go off topic or interfere with lecture. Tries to answer questions to the best of his abilities. Explains concepts very thoroughly and in a very relatable and understandable way.",,Interesting material. Much different from CS135. It feels like it has more real world application. Assignments were interesting for the most part and not unforgivingly difficult.,"Marking schemes for the assignments were pretty unforgiving at first. Seashell was not a very good environment. It is slow and gives unhelpful error messages. Often disconnects from servers. Also, assignment 9.",,
1,,3,,2,,1,,1,,3,,1,,1,,1,,2,,1,,5,,2,,2,,4,,great,/,/,/,/,great
1,,3,,1,,1,,1,,2,,2,,1,,1,,1,,1,,4,,3,,3,,3,,,,,,,
1,,3,,1,,,,1,,2,,1,,1,,1,,1,,2,,4,,3,,3,,3,,"Very enthusiastic, great presentations.","All good, no ideas here.","Pointers, linked lists.",The beginning with Racket. The final assignment was too big of a difficulty jump compared with the previous ones.,No.,
1,,3,,1,,1,,1,,2,,2,,1,,2,,2,,1,,2,,3,,3,,4,,Presents very well. He makes abstract concepts understandable.,Nothing.,"Well organized, good teacher and very good lecture slides. Assignments were very direct and helped teach core concepts.",Nothing.,The class atmosphere was very good. The instructor and students held mutual respect for each other.,"Class size, room, and noise level were all appropriate and made for a good learning environment."
